90,98,95,45,98,98,45,37,50.4,0
90,98,95,60,98,98,41,32,46.75,0
90,98,95,78,98,98,50,12,40.9,0
90,98,95,90,98,98,52,17,43.85,0
90,98,95,66,98,98,54,17,44.55,0
90,57,100,50,50,50,50,46,56.2,0
90,98,95,65,98,98,50,46,56.2,0
90,80,100,0,0,0,49,47,56.3,0
90,98,95,86,98,98,53,14,42.85,0
85,98,95,43,98,98,50,50,57,0
60,98,95,40,98,98,45,52,57.13,0
50,98,95,60,98,98,50,30,50.29,0
69,98,95,65,98,98,35,35,48.04,0
45,98,95,40,98,98,40,40,49.75,0
85,98,95,70,98,98,45,55,57.5,0
80,98,95,60,98,98,50,51,56.45,0
90,98,95,62,98,98,61,43,58.7,0
90,98,95,88,98,98,56,26,49.3,0
90,98,95,75,98,98,40,54,56.3,0
66,98,95,66,98,98,60,39,58.35,0
62,98,95,60,98,98,55,50,60.54,0
70,98,95,90,98,98,50,40,53.5,0
80,98,95,83,98,98,57,45,56.2,0
90,98,95,85,98,98,55,50,59.75,0
85,98,95,95,98,98,70,70,73,1
80,98,95,75,98,98,80,58,70.1,1
90,98,95,100,98,98,57,45,58.2,1
85,98,95,70,98,98,60,70,69.5,1
90,98,95,90,98,98,53,57,62.2,1
90,98,95,84,98,98,73,48,65.15,1
60,98,95,83,98,98,60,50,63.17,1
65,98,95,95,98,98,60,40,59.88,1
60,98,95,78,98,98,83,55,73.01,1
75,98,95,70,98,98,67,55,67.7,1
60,98,95,90,98,98,55,65,67.71,1
75,98,95,75,98,98,81,70,78.81,1
75,98,95,100,98,98,68,70,75.3,1
59,98,95,62,98,98,64,65,69.65,1
74,98,95,85,98,98,79,65,76.48,1
55,98,95,88,98,98,55,45,59.42,1
80,98,95,70,98,98,65,80,77.21,1
80,98,95,75,98,98,88,65,79.47,1
62,98,95,86,98,98,55,45,59.63,1
75,98,95,43,98,98,92,50,73.33,1
80,98,95,84,98,98,75,55,71.29,1
67,98,95,66,98,98,88,75,83.05,1
50,98,95,60,98,98,90,77,82.3,1
59,98,95,62,98,98,90,70,79.5,1
70,98,95,90,98,98,85,75,79.75,1
55,98,95,88,98,98,90,77,82.3,1
80,98,95,70,98,98,90,45,69.5,1
80,98,95,75,98,98,90,45,69.5,1
69,98,95,65,98,98,76,60,70.6,1
50,98,95,60,98,98,84,45,67.4,1
50,98,95,60,98,98,95,60,77.25,1
75,98,95,100,98,98,55,70,67.25,1
59,98,95,62,98,98,55,60,63.25,1
55,98,95,88,98,98,80,60,72,1
80,98,95,75,98,98,60,60,65,1
90,98,95,90,98,98,90,90,90,2
100,57,100,60,98,98,90,70,80.85,2
100,80,100,70,50,50,80,100,92,2
80,98,95,90,98,98,100,95,96.29,2
100,57,100,60,98,98,90,90,87.5,2
74,50,95,85,98,98,78,95,88.61,2
74,98,95,85,98,98,90,90,87.5,2
67,98,95,66,98,98,88,90,86.8,2
80,98,95,70,98,98,90,90,87.5,2
70,98,95,90,98,98,95,80,88.13,2
75,98,95,100,98,98,85,85,83.75,2
